Entity,DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate)
Afghanistan,56925.14842
Albania,23013.69149
Algeria,24307.37757
American Samoa,32093.01739
Andean Latin America,24173.38339
Andorra,17946.37211
Angola,51390.40652
Antigua and Barbuda,24391.82232
Argentina,24632.59041
Armenia,25136.06442
Australasia,19264.88505
Australia,19037.62622
Austria,18620.94152
Azerbaijan,34532.2885
Bahamas,29002.59337
Bahrain,21249.85975
Bangladesh,33089.65902
Barbados,23743.57968
Belarus,28326.77313
Belgium,19465.35103
Belize,29790.6398
Benin,50235.15776
Bermuda,18276.09789
Bhutan,29095.82855
Bolivia,30715.55535
Bosnia and Herzegovina,24302.18709
Botswana,39611.79166
Brazil,27894.03287
Brunei,25380.98017
Bulgaria,26541.7295
Burkina Faso,57810.07941
Burundi,55770.81757
Cambodia,36602.30623
Cameroon,52120.32681
Canada,19226.77041
Cape Verde,28267.24238
Caribbean,32710.20202
Central African Republic,96470.90952
Central Asia,33621.93314
Central Europe,24009.04948
"Central Europe, Eastern Europe, and Central Asia",30575.64103
Central Latin America,25594.22844
Central Sub-Saharan Africa,57225.43841
Chad,63126.53911
Chile,21615.70892
China,22086.06149
Colombia,21427.32949
Comoros,38155.36276
Congo,53615.40683
Costa Rica,20790.94881
Cote d'Ivoire,54257.12392
Croatia,21599.10691
Cuba,21017.60215
Cyprus,18287.11069
Czechia,21382.37925
Democratic Republic of Congo,57690.79906
Denmark,19430.92655
Djibouti,39318.84239
Dominica,32138.15106
Dominican Republic,30965.80041
East Asia,22200.16793
Eastern Europe,32410.75305
Eastern Sub-Saharan Africa,48239.44158
Ecuador,25477.06962
Egypt,35255.0691
El Salvador,29122.3852
England,19906.17869
Equatorial Guinea,46657.38642
Eritrea,57076.4135
Estonia,23217.90529
Eswatini,61391.00024
Ethiopia,40653.53054
Fiji,39647.6503
Finland,19522.23922
France,17833.05275
Gabon,42486.41431
Gambia,46916.55632
Georgia,29519.90393
Germany,19580.09987
Ghana,45910.45502
Greece,19396.77304
Greenland,30038.05351
Grenada,27442.15127
Guam,30104.19932
Guatemala,32309.44587
Guinea,59374.29051
Guinea-Bissau,61936.52282
Guyana,37282.71225
Haiti,49023.73148
High SDI,19982.11199
High-income,20251.97347
High-income Asia Pacific,16403.34177
High-middle SDI,24713.05239
Honduras,28522.4003
Hungary,24252.43755
Iceland,17664.74816
India,39559.70391
Indonesia,32671.55791
Iran,26346.11725
Iraq,30139.27147
Ireland,18623.25203
Israel,17481.90982
Italy,17021.83474
Jamaica,28122.29142
Japan,16214.10809
Jordan,23676.31804
Kazakhstan,31859.53952
Kenya,45177.7048
Kiribati,53679.74059
Kuwait,18712.62749
Kyrgyzstan,30701.83368
Laos,41789.46525
Latin America and Caribbean,26895.37272
Latvia,27056.60959
Lebanon,24477.9035
Lesotho,75805.9413
Liberia,51219.83147
Libya,31617.58059
Lithuania,27524.58702
Low SDI,47422.45404
Low-middle SDI,41768.85414
Luxembourg,19136.04283
Madagascar,51989.75755
Malawi,52313.25375
Malaysia,25491.77086
Maldives,18422.91098
Mali,59694.02344
Malta,19286.03977
Marshall Islands,47288.21243
Mauritania,36334.26756
Mauritius,27765.55255
Mexico,26181.88839
Micronesia (country),41774.39601
Middle SDI,27609.09748
Moldova,31126.02746
Mongolia,37723.54483
Montenegro,23975.9922
Morocco,31139.91433
Mozambique,65564.92993
Myanmar,39364.42244
Namibia,45245.28999
Nepal,34963.12018
Netherlands,18716.14512
New Zealand,20481.10795
Nicaragua,22753.53231
Niger,54661.16433
Nigeria,53711.8181
North Africa and Middle East,31321.31624
North America,23785.67194
North Korea,31804.20658
North Macedonia,23989.85204
Northern Ireland,20213.85203
Northern Mariana Islands,24725.71085
Norway,18648.41608
Oceania,57735.74121
Oman,25096.33305
Pakistan,45532.53401
Palestine,26085.25453
Panama,22661.63226
Papua New Guinea,63819.51299
Paraguay,25958.14316
Peru,21463.48739
Philippines,36379.36372
Poland,23039.69986
Portugal,18936.26494
Puerto Rico,24144.22976
Qatar,21363.23567
Romania,26808.11505
Russia,32178.73763
Rwanda,40388.02008
Saint Lucia,26558.26396
Saint Vincent and the Grenadines,31003.71002
Samoa,30099.64236
Sao Tome and Principe,36754.62094
Saudi Arabia,24935.86191
Scotland,22048.89901
Senegal,41359.1301
Serbia,25468.38346
Seychelles,28043.58459
Sierra Leone,62171.278
Singapore,14901.23451
Slovakia,23466.22808
Slovenia,19703.35886
Solomon Islands,44967.81028
Somalia,62153.35436
South Africa,45453.01836
South Asia,39717.70381
South Korea,17236.08231
South Sudan,67989.90223
Southeast Asia,31004.54333
"Southeast Asia, East Asia, and Oceania",25076.64522
Southern Latin America,23765.44226
Southern Sub-Saharan Africa,48202.49452
Spain,17002.97201
Sri Lanka,22689.155
Sub-Saharan Africa,51978.61767
Sudan,39487.40318
Suriname,32970.38224
Sweden,18002.25967
Switzerland,17047.95497
Syria,40283.18062
Taiwan,19591.13302
Tajikistan,35255.31706
Tanzania,44298.81862
Thailand,23662.24999
Timor,34909.62043
Togo,49336.85537
Tonga,32538.75493
Trinidad and Tobago,28909.55835
Tropical Latin America,27815.78628
Tunisia,23405.92016
Turkey,23005.72108
Turkmenistan,34468.07412
Uganda,46651.42365
Ukraine,34975.044
United Arab Emirates,30806.91871
United Kingdom,20120.89778
United States,24305.78623
United States Virgin Islands,27290.58669
Uruguay,23941.7051
Uzbekistan,35452.49286
Vanuatu,47730.22718
Venezuela,27375.60365
Vietnam,26376.65913
Wales,20368.02371
Western Europe,18536.38285
Western Sub-Saharan Africa,53836.04481
World,32796.89248
Yemen,44559.63921
Zambia,51675.32031
Zimbabwe,56253.67584